what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1334907083416
java.version,sysinfo,,,"1.7.0_03",1334907083416
java.vm.info,sysinfo,,,"mixed mode",1334907083416
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1334907083416
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334907083416
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1334907083416
java.vm.specification.version,sysinfo,,,"1.7",1334907083416
java.vm.vendor,sysinfo,,,"Oracle Corporation",1334907083416
java.vm.version,sysinfo,,,"22.1-b02",1334907083416
activated,view,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui.views.tasks",1334907085004
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334907085050
closed,view,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui.views.tasks",1334907085064
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1334907087079
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334907087113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334907195597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334907898485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334910821577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334910829046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334910830336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334912214282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334915340642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334915348668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334915350078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334917630943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334917648454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334926032843
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1334926034336
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1334926036281
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1334926036283
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1334926036287
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1334926036288
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1334926036306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334926037224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334928019922
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334928020616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334928039417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1334928039443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334928040865
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1334928043861
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334928050145
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1334928050221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334928055482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334931704493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334931721434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334931725133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334931729536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334931731047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334931732378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334931734686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334931734728
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1334943912030
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1334943912030
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1334943912030
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1334943912030
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1334943912030
